"route_id","train_id","route_order","station_id","arrival_time","departure_time","halt_time","distance_from_source","day_number"
"1","12301","1","NDLS",\N,"16:55:00",\N,"0","1"
"2","12301","2","CNB","22:05:00","22:15:00","10","435","1"
"3","12301","3","ALD","00:15:00","00:25:00","10","632","2"
"4","12301","4","PNBE","07:15:00","07:25:00","10","997","2"
"5","12301","5","GAYA","09:05:00","09:10:00","5","1122","2"
"6","12301","6","HWH","10:55:00",\N,\N,"1415","2"
"7","12951","1","NDLS",\N,"16:25:00",\N,"0","1"
"8","12951","2","JP","21:25:00","21:30:00","5","314","1"
"9","12951","3","ADI","04:50:00","05:00:00","10","943","2"
"10","12951","4","BCT","08:15:00",\N,\N,"1384","2"
"11","12269","1","NDLS",\N,"15:55:00",\N,"0","1"
"12","12269","2","BPL","00:25:00","00:35:00","10","699","2"
"13","12269","3","NGP","06:15:00","06:25:00","10","1094","2"
"14","12269","4","SC","13:30:00","13:40:00","10","1659","2"
"15","12269","5","MAS","20:25:00",\N,\N,"2176","2"
"16","22691","1","NDLS",\N,"20:50:00",\N,"0","1"
"17","22691","2","BPL","05:45:00","05:55:00","10","704","2"
"18","22691","3","NGP","10:45:00","10:55:00","10","1092","2"
"19","22691","4","SC","18:30:00","18:40:00","10","1659","2"
"20","22691","5","SBC","05:30:00",\N,\N,"2420","3"
"21","20901","1","BCT",\N,"11:35:00",\N,"0","1"
"22","20901","2","PUNE","15:45:00","15:55:00","10","192","1"
"23","20901","3","NGP","03:25:00","03:35:00","10","889","2"
"24","20901","4","HWH","18:45:00","19:05:00","20","1501","2"
"25","20901","5","BBS","03:15:00",\N,\N,"1800","3"
